name-original-cap,name,alternative-fr,alternative-nl,alternative-de,alternative-en,alternative-wp,country-code,longitude,latitude,avg_stop_times,official_transfer_time
Aachen Hbf,aachen hbf,aix-la-chapelle hbf,aken hbf,,,,de,6.105275,50.770832,29.916201,300
Aalst,aalst,alost,,,,,be,4.039653,50.942813,167.268156,300
Aalst-Kerrebroek,aalst-kerrebroek,alost kerrebroek,,,,,be,4.024407,50.948377,7.938547,300
Aalter,aalter,,,,,,be,3.447848,51.092295,185.069832,240
Aarschot,aarschot,,,,,,be,4.824043,50.984406,175.955307,240
Aarsele,aarsele,,,,,,be,3.418363,50.98446,39.192737,300
Acren,acren,,akren,,,,be,3.847086,50.733095,37.296089,300
Agde,agde,,,,,,fr,3.4658,43.317498,0,
Aime-la-Plagne,aime-la-plagne,,,,,,fr,6.648394,45.554202,0,
Aiseau,aiseau,,,,,,be,4.584552,50.429529,115.527933,300
Aix-en-Provence TGV,aix-en-provence tgv,,,,,,fr,5.317243,43.455128,0,
Albertville,albertville,,,,,,fr,6.383617,45.673624,0,
Alken,alken,,,,,,be,5.292866,50.886837,39.511173,300
Amay,amay,,,,,,be,5.32049,50.546011,89.198324,300
Ampsin,ampsin,,,,,,be,5.289729,50.539215,89.198324,300
Amsterdam CS,amsterdam cs,,,,,,nl,4.916667,52.35,25.905028,300
Andenne,andenne,,,,,,be,5.094699,50.496759,87.128492,300
Angleur,angleur,,,,,,be,5.599695,50.613152,127.424581,300
Annappes,annappes,,,,,,fr,3.15,50.633333,3.432961,300
Ans,ans,,,,,,be,5.509704,50.661208,114.885475,300
Anseremme,anseremme,,,,,,be,4.90553,50.238023,26.810056,300
Antibes,antibes,,,,,,fr,7.1201361,43.586618,0,
Antoing,antoing,,,,,,be,3.451309,50.569626,65.958101,300
Antwerpen-Berchem,antwerpen-berchem,anvers-berchem,,,antwerp-berchem,berchem,be,4.432221,51.19923,649.259777,300
Antwerpen-Centraal,antwerpen-centraal,anvers-central,,,antwerp-central,,be,4.421101,51.2172,653.807263,300
Antwerpen-Dam,antwerpen-dam,anvers-dam,antwerpen-dam,,,,be,4.426238,51.231991,0.067039,300
Antwerpen-Haven,antwerpen-haven,anvers-haven,,,antwerp-haven,,be,4.379086,51.289968,0,
Antwerpen-Luchtbal,antwerpen-luchtbal,anvers-luchtbal,,,antwerp-luchtbal,,be,4.425029,51.244132,147.083799,300
Antwerpen-Noorderdokken,antwerpen-noorderdokken,anvers-noorderdokken,,,antwerp-noorderdokken,,be,4.427906,51.261643,128.039106,240
Antwerpen-Oost,antwerpen-oost,anvers-est,,,antwerp-east,,be,4.436392,51.207357,0.178771,300
Antwerpen-Zuid,antwerpen-zuid,anvers-sud,,,antwerp-south,,be,4.390259,51.197828,202.223464,300
Anzegem,anzegem,,,,,,be,3.495014,50.826385,68.329609,300
Appelterre,appelterre,,,,,,be,3.972108,50.813063,46.790503,300
Arcaden/Arcades,arcaden/arcades,arcades,arcaden,arcades,arcaden,,be,4.398333,50.809722,124.941341,300
Archennes,archennes,,eerken,,,,be,4.662444,50.754345,54.600559,300
Arlon,arlon,,aarlen,arel,,,be,5.809971,49.68053,138.226257,120
Ascq,ascq,,,,,,fr,3.166666,50.616666,31.768156,300
Asse,asse,,,,,,be,4.207985,50.906488,91.670391,300
Assesse,assesse,,,,,,be,5.022839,50.368133,72.427374,300
Ath,ath,,aat,,,,be,3.777429,50.626932,126.315642,300
Athus,athus,,,athem,,,be,5.828947,49.563346,98.089385,300
Athus-Frontiere,athus-frontiere,,,,,,be,5.824932,49.551749,110.625698,120
Aubange,aubange,,,,,,be,5.79806,49.564093,24.120112,300
Aubange-Frontiere-Luxembourg,aubange-frontiere-luxembourg,,,,,,be,5.826307,49.549455,0,
Aulnoye-Aymeries,aulnoye-aymeries,,,,,,fr,3.843413,50.19744,3.918994,300
Auvelais,auvelais,,,,,,be,4.630532,50.449197,115.567039,300
Avignon TGV,avignon tgv,,,,,,fr,4.785841,43.921433,0,
Aye,aye,,,,,,be,5.301091,50.224135,63.620112,300
Aywaille,aywaille,,,,,,be,5.672499,50.472938,22.268156,300
Aéroport Charles-de-Gaulle TGV,aeroport charles-de-gaulle tgv,,,,,,fr,2.571123,49.003955,0,
Baasrode-Zuid,baasrode-zuid,baesrode-sud,,,,,be,4.153492,51.019437,63.223464,300
Baisieux,baisieux,,,,,,fr,3.25,50.6,49.368715,300
Balegem-Dorp,balegem-dorp,,,,,,be,3.791425,50.919612,41.849162,300
Balegem-Zuid,balegem-zuid,,,,,,be,3.80587,50.90051,41.849162,300
Balen,balen,baelen,,,,,be,5.164986,51.169099,30.240223,300
Bambrugge,bambrugge,,,,,,be,3.935711,50.913769,7.938547,300
Barvaux,barvaux,,,,,,be,5.501542,50.349417,30.374302,300
Bas-Oha,bas-oha,,,,,,be,5.190937,50.52263,87.128492,300
Basel,basel,,bazel,,,,ch,7.590716,47.547408,0,
Basse-Wavre,basse-wavre,,,,,,be,4.621651,50.72442,55.120112,300
Bastogne-Nord,bastogne-nord,,bastenaken-noord,,,,be,5.720744,50.006919,16.541899,300
Bastogne-Sud,bastogne-sud,,bastenaken-zuid,,,,be,5.709858,49.999737,16.541899,300
Beauraing,beauraing,,,,,,be,4.95684,50.11443,26.810056,300
Beernem,beernem,,,,,,be,3.329892,51.128009,185.069832,300
Beersel,beersel,,,,,,be,4.302605,50.766616,68.388268,300
Beervelde,beervelde,,,,,,be,3.879384,51.08753,145.765363,300
Begijnendijk,begijnendijk,,,,,,be,4.800338,51.021972,74.946927,300
Beignée,beignee,,,,,,be,4.406305,50.333893,32.899441,300
Bellem,bellem,,,,,,be,3.487374,51.083908,185.069832,300
Belsele,belsele,,,,,,be,4.088608,51.150994,170.695531,300
Beringen,beringen,,,,,,be,5.235892,51.050603,30.329609,300
Berlaar,berlaar,,,,,,be,4.638811,51.113662,74.946927,300
Bertrange Strassen,bertrange strassen,,,,,,lu,6.060601,49.613002,35.22905,300
Bertrix,bertrix,,,,,,be,5.267193,49.852835,65.913408,300
Berzée,berzee,,,,,,be,4.405909,50.285603,32.899441,300
Beuzet,beuzet,,,,,,be,4.748533,50.534208,129.75419,300
Beveren,beveren,,,,,,be,4.25952,51.208336,148.402235,300
Beverlo,beverlo,,,,,,be,5.234373,51.087719,30.329609,300
Bierges-Walibi,bierges-walibi,,,,,,be,4.594746,50.707772,62.164804,300
Bierset-Awans,bierset-awans,,,,,,be,5.460551,50.65861,63.136872,300
Bilzen,bilzen,,,,,,be,5.50938,50.868643,61.005587,300
Binche,binche,,,,,,be,4.172451,50.408764,35.868715,300
Bissegem,bissegem,,,,,,be,3.224205,50.825845,41.497207,300
Blandain-Frontiere,blandain-frontiere,,,,,,be,3.26373,50.61749,48.005587,120
Blankenberge,blankenberge,,,,,,be,3.133864,51.312432,38.692737,300
Blanmont,blanmont,,,,,,be,4.636393,50.619453,130.452514,300
Blaton,blaton,,,,,,be,3.666304,50.505461,65.958101,300
Bleret,bleret,,,,,,be,5.286394,50.685065,63.136872,300
Bockstael,bockstael,,,,,,be,4.348513,50.87943,120.251397,300
